127.0.0.1, 2015-03-14 02:52:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2015-03-14 02:52:31, POST, /admin/default/index, HTTP/1.1, 303, 0.023606
127.0.0.1, 2015-03-14 02:52:31, GET, /admin/default/site, HTTP/1.1, 200, 0.073047
127.0.0.1, 2015-03-14 02:52:31, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.000978
127.0.0.1, 2015-03-14 02:52:31, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-03-14 02:52:31, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000248
127.0.0.1, 2015-03-14 02:52:32, POST, /admin/default/check_version, HTTP/1.1, 200, 0.598548
127.0.0.1, 2015-03-14 02:52:32, GET, /admin/default/null, HTTP/1.1, 404, 0.006508
127.0.0.1, 2015-03-14 02:52:32, GET, /favicon.ico, HTTP/1.1, 400, 0.002111
127.0.0.1, 2015-03-14 02:52:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2015-03-14 02:52:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/default/index, HTTP/1.1, 200, 0.009236
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000942
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000776
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001890
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001699
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001170
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001148
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000905
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000552
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000321
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000249
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000255
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000610
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000311
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000231
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000270
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000284
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000292
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000236
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000232
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000673
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000495
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000337
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000407
127.0.0.1, 2015-03-14 02:52:47, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000518
127.0.0.1, 2015-03-14 02:52:50, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000390
127.0.0.1, 2015-03-14 02:52:51, GET, /admin/default/site, HTTP/1.1, 200, 0.034563
127.0.0.1, 2015-03-14 02:52:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2015-03-14 02:52:51, GET, /admin/default/null, HTTP/1.1, 404, 0.007199
127.0.0.1, 2015-03-14 02:52:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2015-03-14 02:52:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000150
127.0.0.1, 2015-03-14 02:52:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.014862
127.0.0.1, 2015-03-14 02:54:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.071757
